Time,Utilization (%)
2024-01-24 03:03:13,0.4946
2024-01-24 03:02:13,0.5011
2024-01-24 03:01:13,0.4944
2024-01-24 03:00:13,0.4842
2024-01-24 02:59:13,0.4864
2024-01-24 02:58:13,0.4858
2024-01-24 02:57:13,0.4908
2024-01-24 02:56:13,0.4816
2024-01-24 02:55:13,0.4868
2024-01-24 02:54:13,0.4870
2024-01-24 02:53:13,0.4896
2024-01-24 02:52:13,0.4889
2024-01-24 02:51:13,0.4907
2024-01-24 02:50:13,0.4843
2024-01-24 02:49:13,0.4890
2024-01-24 02:48:13,0.4831
2024-01-24 02:47:13,0.4908
2024-01-24 02:46:13,0.4883
2024-01-24 02:45:13,0.4868
2024-01-24 02:44:13,0.4864
2024-01-24 02:43:13,0.4834
2024-01-24 02:42:13,0.4854
2024-01-24 02:41:13,0.4877
2024-01-24 02:40:13,0.4865
2024-01-24 02:39:13,0.4817
2024-01-24 02:38:13,0.4879
2024-01-24 02:37:13,0.4898
2024-01-24 02:36:13,0.4885
2024-01-24 02:35:13,0.4890
2024-01-24 02:34:13,0.4856
2024-01-24 02:33:13,0.4866
2024-01-24 02:32:13,0.4870
2024-01-24 02:31:13,0.4796
2024-01-24 02:30:13,0.4753
2024-01-24 02:29:13,0.4804
2024-01-24 02:28:13,0.4833
2024-01-24 02:27:13,0.4804
2024-01-24 02:26:13,0.4801
2024-01-24 02:25:13,0.5090
2024-01-24 02:24:13,0.4790
2024-01-24 02:23:13,0.4855
2024-01-24 02:22:13,0.4864
2024-01-24 02:21:13,0.4837
2024-01-24 02:20:13,0.4805
2024-01-24 02:19:13,0.4857
2024-01-24 02:18:13,0.4931
2024-01-24 02:17:13,0.4878
2024-01-24 02:16:13,0.4853
2024-01-24 02:15:13,0.4813
2024-01-24 02:14:13,0.4833
2024-01-24 02:13:13,0.4960
2024-01-24 02:12:13,0.4900
2024-01-24 02:11:13,0.4908
2024-01-24 02:10:13,0.4860
2024-01-24 02:09:13,0.4908
2024-01-24 02:08:13,0.4921
2024-01-24 02:07:13,0.4897
2024-01-24 02:06:13,0.4879
2024-01-24 02:05:13,0.4875
2024-01-24 02:04:13,0.4879
2024-01-24 02:03:13,0.4858
2024-01-24 02:02:13,0.4941
2024-01-24 02:01:13,0.4866
2024-01-24 02:00:13,0.4747
2024-01-24 01:59:13,0.4794
2024-01-24 01:58:13,0.4781
2024-01-24 01:57:13,0.4782
2024-01-24 01:56:13,0.4772
2024-01-24 01:55:13,0.4849
2024-01-24 01:54:13,0.4788
2024-01-24 01:53:13,0.4854
2024-01-24 01:52:13,0.4805
2024-01-24 01:51:13,0.4822
2024-01-24 01:50:13,0.4834
2024-01-24 01:49:13,0.4798
2024-01-24 01:48:13,0.4774
2024-01-24 01:47:13,0.4893
2024-01-24 01:46:13,0.4830
2024-01-24 01:45:13,0.4801
2024-01-24 01:44:13,0.4786
2024-01-24 01:43:13,0.4761
2024-01-24 01:42:13,0.4756
2024-01-24 01:41:13,0.4802
