Time,Latency (ms)
2024-01-25 04:05:33,N/A
2024-01-25 04:04:33,N/A
2024-01-25 04:03:33,N/A
2024-01-25 04:02:33,N/A
2024-01-25 04:01:33,N/A
2024-01-25 04:00:33,N/A
2024-01-25 03:59:33,N/A
2024-01-25 03:58:33,N/A
2024-01-25 03:57:33,N/A
2024-01-25 03:56:33,N/A
2024-01-25 03:55:33,N/A
2024-01-25 03:54:33,N/A
2024-01-25 03:53:33,N/A
2024-01-25 03:52:33,N/A
2024-01-25 03:51:33,N/A
2024-01-25 03:50:33,N/A
2024-01-25 03:49:33,N/A
2024-01-25 03:48:33,N/A
2024-01-25 03:47:33,N/A
2024-01-25 03:46:33,N/A
2024-01-25 03:45:33,N/A
2024-01-25 03:44:33,N/A
2024-01-25 03:43:33,N/A
2024-01-25 03:42:33,N/A
2024-01-25 03:41:33,N/A
2024-01-25 03:40:33,N/A
2024-01-25 03:39:33,N/A
2024-01-25 03:38:33,N/A
2024-01-25 03:37:33,N/A
2024-01-25 03:36:33,N/A
2024-01-25 03:35:33,N/A
2024-01-25 03:34:33,N/A
2024-01-25 03:33:33,N/A
2024-01-25 03:32:33,N/A
2024-01-25 03:31:33,N/A
2024-01-25 03:30:33,N/A
2024-01-25 03:29:33,N/A
2024-01-25 03:28:33,N/A
2024-01-25 03:27:33,N/A
2024-01-25 03:26:33,N/A
2024-01-25 03:25:33,N/A
2024-01-25 03:24:33,N/A
2024-01-25 03:23:33,N/A
2024-01-25 03:22:33,N/A
2024-01-25 03:21:33,N/A
2024-01-25 03:20:33,N/A
2024-01-25 03:19:33,N/A
2024-01-25 03:18:33,N/A
2024-01-25 03:17:33,N/A
2024-01-25 03:16:33,N/A
2024-01-25 03:15:33,N/A
2024-01-25 03:14:33,N/A
2024-01-25 03:13:33,N/A
2024-01-25 03:12:33,N/A
2024-01-25 03:11:33,N/A
2024-01-25 03:10:33,N/A
2024-01-25 03:09:33,N/A
2024-01-25 03:08:33,N/A
2024-01-25 03:07:33,N/A
2024-01-25 03:06:33,N/A
2024-01-25 03:05:33,N/A
2024-01-25 03:04:33,N/A
2024-01-25 03:03:33,N/A
2024-01-25 03:02:33,N/A
2024-01-25 03:01:33,N/A
2024-01-25 03:00:33,N/A
2024-01-25 02:59:33,N/A
2024-01-25 02:58:33,N/A
2024-01-25 02:57:33,N/A
2024-01-25 02:56:33,N/A
2024-01-25 02:55:33,N/A
2024-01-25 02:54:33,N/A
2024-01-25 02:53:33,N/A
2024-01-25 02:52:33,N/A
