Time,Request Latency (ms),Container CPU Utilization (%),Container Memory Utilization (%),Container Startup Latency (ms),Instance Count (active),Instance Count (idle),Request Count (1xx),Request Count (2xx),Request Count (3xx),Request Count (4xx)
2023-12-07 09:00:00,19.41630856,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:01:00,323462.6322,16.0875,53.99,,1,1,1,0,0,4
2023-12-07 09:02:00,17.6511896,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:03:00,17.6511896,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:04:00,17.6672947,16.0875,53.99,,1,1,0,0,0,3
2023-12-07 09:05:00,16.075818,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:06:00,323758.0318,16.0875,53.99,,1,1,1,0,0,4
2023-12-07 09:07:00,17.6833998,16.0875,53.99,,1,1,0,0,0,3
2023-12-07 09:08:00,16.08557867,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:09:00,17.6672947,16.0875,53.99,,1,1,0,0,0,3
2023-12-07 09:10:00,25.84310669,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:11:00,17.6511896,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:12:00,323462.6322,16.0875,53.99,,1,1,1,0,0,4
2023-12-07 09:13:00,17.6511896,16.0875,53.99,,1,1,0,0,0,4
2023-12-07 09:14:00,16.075818,16.0875,53.99,,1,1,0,5,0,4
2023-12-07 09:15:00,142.7022868,16.0875,53.99,,1,1,0,14,1,3
2023-12-07 09:16:00,31.2701591,16.0875,56.99,,1,1,0,5,0,4
2023-12-07 09:17:00,298058.261,16.0875,56.99,,1,1,1,121,2,6
2023-12-07 09:18:00,1176.256346,64.8375,61.99,,1,1,0,59,0,4
2023-12-07 09:19:00,2005.917502,32.3375,63.99,,1,1,0,32,2,5
2023-12-07 09:20:00,26421.49501,16.0875,62.99,,1,1,1,24,1,4
2023-12-07 09:21:00,216692.3292,32.3375,62.99,,1,1,3,18,5,4
2023-12-07 09:22:00,313123.6439,32.3375,60.99,,1,1,2,29,3,6
2023-12-07 09:23:00,10043.29102,32.3375,61.99,,1,1,1,36,5,3
2023-12-07 09:24:00,73.32974945,16.0875,62.99,,1,1,0,0,0,4
2023-12-07 09:25:00,323462.6322,16.0875,62.99,,1,1,1,0,0,4
2023-12-07 09:26:00,17.6995049,32.3375,57.99,,1,1,0,0,0,3
2023-12-07 09:27:00,324053.4315,16.0875,57.99,,1,1,2,0,0,5
2023-12-07 09:28:00,21.35793942,16.0875,57.99,,1,1,0,0,0,3
2023-12-07 09:29:00,25.84310669,16.0875,57.99,,1,1,0,0,0,4
2023-12-07 09:30:00,323462.6322,16.0875,57.99,,1,1,1,0,0,4
2023-12-07 09:31:00,21.39691376,16.0875,57.99,,1,1,0,0,0,4
2023-12-07 09:32:00,324053.4315,16.0875,57.99,,1,1,2,0,0,4
2023-12-07 09:33:00,60.88109458,16.0875,57.99,,1,1,0,0,0,5
2023-12-07 09:34:00,21.35793942,16.0875,57.99,,1,1,0,0,0,4
2023-12-07 09:35:00,323758.0318,16.0875,57.99,,1,1,1,0,0,3
2023-12-07 09:36:00,19.41630856,16.0875,57.99,,1,1,0,2,0,4
2023-12-07 09:37:00,322133.3337,16.0875,57.99,,1,1,2,20,0,4
2023-12-07 09:38:00,185.6616401,,59.99,,1,1,0,24,0,4
2023-12-07 09:39:00,878.2331411,32.3375,60.99,,1,1,0,119,1,4
2023-12-07 09:40:00,880.5225441,16.0875,66.99,,1,1,1,164,1,4
2023-12-07 09:41:00,122544.9494,97.3375,67.99,,1,1,2,107,0,5
2023-12-07 09:42:00,317259.2392,64.8375,66.99,,1,1,2,0,0,4
2023-12-07 09:43:00,17.6511896,68.5875,63.99,,1,1,0,0,0,4
2023-12-07 09:44:00,19.41630856,16.0875,60.99,,1,1,0,0,0,4
2023-12-07 09:45:00,323462.6322,16.0875,58.99,,1,1,1,0,0,4
2023-12-07 09:46:00,19.43402417,16.0875,58.99,,1,1,0,0,0,3
2023-12-07 09:47:00,323462.6322,16.0875,58.99,,1,1,2,0,0,4
2023-12-07 09:48:00,323462.6322,16.0875,58.99,,1,1,0,0,0,4
2023-12-07 09:49:00,17.6511896,16.0875,58.99,,1,1,0,0,0,4
2023-12-07 09:50:00,323462.6322,16.0875,58.99,,1,1,1,4,0,4
2023-12-07 09:51:00,207.4908424,16.0875,58.99,,1,1,0,11,0,4
2023-12-07 09:52:00,323462.6322,16.0875,58.99,,1,1,2,0,0,4
2023-12-07 09:53:00,323167.2325,16.0875,58.99,,1,1,0,0,0,5
2023-12-07 09:54:00,16.0831385,16.0875,58.99,,1,1,0,0,0,3
2023-12-07 09:55:00,323462.6322,16.0875,58.99,,1,1,1,0,0,4
2023-12-07 09:56:00,17.6672947,16.0875,57.99,,1,1,0,3,0,3
2023-12-07 09:57:00,316963.8395,16.0875,57.99,,1,1,2,22,0,4
2023-12-07 09:58:00,873.9568994,16.0875,60.99,,1,1,0,16,2,3
2023-12-07 09:59:00,779.1992706,32.3375,63.99,,1,1,0,41,2,5
2023-12-07 10:00:00,323167.2325,32.3375,63.99,,1,1,1,0,0,4
2023-12-07 10:01:00,25.84310669,16.0875,59.99,,1,1,0,0,0,4
2023-12-07 10:02:00,324201.1313,16.0875,59.99,,1,1,2,0,0,3
2023-12-07 10:03:00,23.53660513,16.0875,58.99,,1,1,0,0,0,4
2023-12-07 10:04:00,323462.6322,16.0875,58.99,,1,1,1,0,0,4
2023-12-07 10:05:00,21.37742659,16.0875,58.99,,1,1,0,0,0,3
2023-12-07 10:06:00,323462.6322,16.0875,58.99,,1,1,1,0,0,4
2023-12-07 10:07:00,323462.6322,16.0875,58.99,,1,1,2,0,0,4
2023-12-07 10:08:00,323462.6322,16.0875,58.99,,1,1,0,0,0,4
2023-12-07 10:09:00,323758.0318,16.0875,58.99,,1,1,1,0,0,3
2023-12-07 10:10:00,28.42741736,16.0875,58.99,,1,1,0,0,0,4
2023-12-07 10:11:00,323758.0318,16.0875,58.99,,1,1,1,0,0,3
2023-12-07 10:12:00,323167.2325,16.0875,58.99,,1,1,2,0,0,5
2023-12-07 10:13:00,323462.6322,16.0875,58.99,,1,1,0,0,0,3
2023-12-07 10:14:00,323462.6322,16.0875,58.99,,1,1,1,0,0,4
2023-12-07 10:15:00,19.41630856,16.0875,58.99,,1,1,0,0,0,4
